Biotype,Region label,Region anatomy,Z Value,Template x coordinate,Template y coordinate,Template z coordinate,Filename
Default Mode Circuit,D1,amPFC,22.0,-2,50,-6,Medial_amPFC_DefaultModeNetwork_n2_50_n6.nii.gz
Default Mode Circuit,D2,AG L,26.1,-46,-70,32,Left_AG_DefaultModeNetwork_n46_n70_32.nii.gz
Default Mode Circuit,D3,AG R,20.6,50,-62,26,Right_AG_DefaultModeNetwork_50_n62_26.nii.gz
Default Mode Circuit,D4,PCC,29.8,0,-50,28,Medial_PCC_DefaultModeNetwork_0_n50_28.nii.gz
Salience Circuit,S1,aI L,11.9,-38,14,-6,Left_antInsula_Salience_n38_14_n6.nii.gz
Salience Circuit,S2,aI R,14.8,38,18,2,Right_antInsula_Salience_38_18_2.nii.gz
Salience Circuit,S3,Amygdala L,6.9,AAL,AAL,AAL,Left_Amygdala_Salience.nii.gz
Salience Circuit,S4,Amygdala R,14.7,AAL,AAL,AAL,Right_Amygdala_Salience.nii.gz
Attention Circuit,A1,msPFC,10.4,-2,14,52,Medial_msPFC_Attention_n2_14_52.nii.gz
Attention Circuit,A2,LPFC L,13.9,-44,6,32,Left_lPFC_Attention_n44_6_32.nii.gz
Attention Circuit,A3,LPFC R,11.3,50,10,28,Right_lPFC_Attention_50_10_28.nii.gz
Attention Circuit,A4,aIPL L,10.4,-30,-54,40,Left_aIPL_Attention_n30_n54_40.nii.gz
Attention Circuit,A5,aIPL R,10.4,38,-56,48,Right_aIPL_Attention_38_n56_48.nii.gz
Attention Circuit,A6,Precuneus L,13.0,-14,-66,52,Left_precuneus_Attention_n14_n66_52.nii.gz
Attention Circuit,A7,Precuneus R,11.3,18,-68,52,Right_precuneus_Attention_18_n68_52.nii.gz
Negative Affect Circuit: Sad,N1,pgACC*,6.3,6,42,4,Medial_pgACC_NegativeAffect_n6_42_n4.nii.gz
Negative Affect Circuit: Sad,N2,aI L,17.4,-36,20,-4,Left_antInsula_NegativeAffect_n36_20_n4.nii.gz
Negative Affect Circuit: Sad,N3,aI R,16.1,38,22,-4,Right_antInsula_NegativeAffect_38_22_n4.nii.gz
Negative Affect Circuit: Sad,N4,Amygdala L,28.4,AAL,AAL,AAL,Left_Amygdala_NegativeAffect.nii.gz
Negative Affect Circuit: Sad,N5,Amygdala R,25.2,AAL,AAL,AAL,Right_Amygdala_NegativeAffect.nii.gz
Negative Affect Circuit: Threat Conscious,T1,dACC,8.2,6,22,32,Medial_dACC_NegativeAffect_6_22_32.nii.gz
Negative Affect Circuit: Threat Conscious,T2,Amygdala L,28.4,AAL,AAL,AAL,Left_Amygdala_NegativeAffect.nii.gz
Negative Affect Circuit: Threat Conscious,T3,Amygdala R,25.2,AAL,AAL,AAL,Right_Amygdala_NegativeAffect.nii.gz
Negative Affect Circuit: Threat Nonconscious,T1,sgACC†,5.6,4,26,-10,Medial_sgACC_NegativeAffect_4_26_n10
Negative Affect Circuit: Threat Nonconscious,T2,Amygdala L,28.4,AAL,AAL,AAL,Left_Amygdala_NegativeAffect.nii.gz
Negative Affect Circuit: Threat Nonconscious,T3,Amygdala R,25.2,AAL,AAL,AAL,Right_Amygdala_NegativeAffect.nii.gz
Positive Affect Circuit: Happy,P1,vMPFC,13.1,-2,56,-8,Medial_vmPFC_PositiveAffect_n2_56_n8.nii.gz
Positive Affect Circuit: Happy,P2,Striatum L,14.0,FSL,FSL,FSL,Left_vStriatum_PositiveAffect.nii.gz
Positive Affect Circuit: Happy,P3,Striatum R,7.9,FSL,FSL,FSL,Right_vStriatum_PositiveAffect.nii.gz
Cognitive Control Circuit,C1,dACC,20.0,0,18,46,Medial_dACC_CognitiveControl_0_18_46.nii.gz
Cognitive Control Circuit,C2,DLPFC L,20.4,-44,6,32,Left_dlPFC_CognitiveControl_n44_6_32.nii.gz
Cognitive Control Circuit,C3,DLPFC R,12.4,44,34,22,Right_dlPFC_CognitiveControl_44_34_22.nii.gz
